Case ID,Activity,Variant,Variant index,amount:low,amount:high,dismissal:low,dismissal:high,points:low,points:high,paymentAmount:low,paymentAmount:high,expense:low,expense:high
case 182,Send Fine,Variant 20,20,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 182,Insert Fine Notification,Variant 20,20,,,,,,,,,,
case 182,Appeal to Judge,Variant 20,20,,,71.00,9223372036854775808.00,,,,,,
case 182,Send for Credit Collection,Variant 20,20,,,,,,,,,,
case 183,Create Fine,Variant 30,30,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 183,Send Fine,Variant 30,30,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 183,Insert Fine Notification,Variant 30,30,,,,,,,,,,
case 183,Appeal to Judge,Variant 30,30,,,71.00,9223372036854775808.00,,,,,,
case 183,Add penalty,Variant 30,30,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 184,Create Fine,Variant 48,48,36.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 184,Send Fine,Variant 48,48,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 184,Insert Fine Notification,Variant 48,48,,,,,,,,,,
case 184,Send for Credit Collection,Variant 48,48,,,,,,,,,,
case 185,Create Fine,Variant 52,52,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 185,Send Fine,Variant 52,52,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 185,Insert Fine Notification,Variant 52,52,,,,,,,,,,
case 185,Add penalty,Variant 52,52,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 185,Insert Date Appeal to Prefecture,Variant 52,52,,,,,,,,,,
case 185,Send Appeal to Prefecture,Variant 52,52,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 186,Create Fine,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 186,Send Fine,Variant 9,9,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 186,Insert Fine Notification,Variant 9,9,,,,,,,,,,
case 186,Add penalty,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 186,Appeal to Judge,Variant 9,9,,,71.00,71.00,,,,,,
case 187,Create Fine,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 187,Send Fine,Variant 9,9,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 187,Insert Fine Notification,Variant 9,9,,,,,,,,,,
case 187,Add penalty,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 187,Appeal to Judge,Variant 9,9,,,-9223372036854775808.00,71.00,,,,,,
case 188,Create Fine,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 188,Send Fine,Variant 9,9,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 188,Insert Fine Notification,Variant 9,9,,,,,,,,,,
case 188,Add penalty,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 188,Appeal to Judge,Variant 9,9,,,71.00,9223372036854775808.00,,,,,,
case 189,Create Fine,Variant 24,24,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 189,Send Fine,Variant 24,24,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 189,Insert Fine Notification,Variant 24,24,,,,,,,,,,
case 189,Add penalty,Variant 24,24,39.35,71.00,,,,,,,,
case 190,Create Fine,Variant 24,24,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 190,Send Fine,Variant 24,24,,,,,,,,,4.96,9223372036854775808.00
case 190,Insert Fine Notification,Variant 24,24,,,,,,,,,,
case 190,Add penalty,Variant 24,24,159.00,319.50,,,,,,,,
case 191,Create Fine,Variant 31,31,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 191,Send Fine,Variant 31,31,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 191,Insert Fine Notification,Variant 31,31,,,,,,,,,,
case 191,Add penalty,Variant 31,31,39.35,77.50,,,,,,,,
case 191,Send for Credit Collection,Variant 31,31,,,,,,,,,,
case 192,Create Fine,Variant 31,31,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 192,Send Fine,Variant 31,31,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 192,Insert Fine Notification,Variant 31,31,,,,,,,,,,
case 192,Add penalty,Variant 31,31,155.00,9223372036854775808.00,,,,,,,,
case 192,Send for Credit Collection,Variant 31,31,,,,,,,,,,
case 193,Create Fine,Variant 31,31,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 193,Send Fine,Variant 31,31,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 193,Insert Fine Notification,Variant 31,31,,,,,,,,,,
case 193,Add penalty,Variant 31,31,36.00,39.35,,,,,,,,
case 193,Send for Credit Collection,Variant 31,31,,,,,,,,,,
case 194,Create Fine,Variant 37,37,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 194,Send Fine,Variant 37,37,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 194,Insert Fine Notification,Variant 37,37,,,,,,,,,,
case 194,Add penalty,Variant 37,37,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 194,Add penalty,Variant 37,37,77.50,155.00,,,,,,,,
case 194,Appeal to Judge,Variant 37,37,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 195,Create Fine,Variant 37,37,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 195,Send Fine,Variant 37,37,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 195,Insert Fine Notification,Variant 37,37,,,,,,,,,,
case 195,Add penalty,Variant 37,37,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 195,Add penalty,Variant 37,37,319.50,716.00,,,,,,,,
case 195,Appeal to Judge,Variant 37,37,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 196,Create Fine,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 196,Send Fine,Variant 17,17,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 196,Insert Fine Notification,Variant 17,17,,,,,,,,,,
case 196,Add penalty,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 196,Add penalty,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 197,Create Fine,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 197,Send Fine,Variant 17,17,,,,,,,,,4.96,9223372036854775808.00
case 197,Insert Fine Notification,Variant 17,17,,,,,,,,,,
case 197,Add penalty,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 197,Add penalty,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 198,Create Fine,Variant 25,25,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 198,Send Fine,Variant 25,25,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 198,Insert Fine Notification,Variant 25,25,,,,,,,,,,
case 198,Add penalty,Variant 25,25,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 198,Add penalty,Variant 25,25,319.50,716.00,,,,,,,,
case 198,Send for Credit Collection,Variant 25,25,,,,,,,,,,
case 199,Create Fine,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 199,Send Fine,Variant 11,11,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 199,Insert Fine Notification,Variant 11,11,,,,,,,,,,
case 199,Add penalty,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 199,Add penalty,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 199,Payment,Variant 11,11,,,,,,,-9223372036854775808.00,29.77,,
case 200,Create Fine,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 200,Send Fine,Variant 11,11,,,,,,,,,-9223372036854775808.00,4.96
case 200,Insert Fine Notification,Variant 11,11,,,,,,,,,,
case 200,Add penalty,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 200,Add penalty,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 200,Payment,Variant 11,11,,,,,,,-9223372036854775808.00,168.50,,
case 201,Create Fine,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 201,Send Fine,Variant 11,11,,,,,,,,,4.96,9223372036854775808.00
case 201,Insert Fine Notification,Variant 11,11,,,,,,,,,,
case 201,Add penalty,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 201,Add penalty,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 201,Payment,Variant 11,11,,,,,,,-9223372036854775808.00,79.00,,
case 202,Create Fine,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,2.00,9223372036854775808.00,,,,
case 202,Send Fine,Variant 11,11,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 202,Insert Fine Notification,Variant 11,11,,,,,,,,,,
case 202,Add penalty,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 202,Add penalty,Variant 11,11,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 202,Payment,Variant 11,11,,,,,,,-9223372036854775808.00,168.50,,
case 203,Create Fine,Variant 37,37,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 203,Send Fine,Variant 37,37,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 203,Insert Fine Notification,Variant 37,37,,,,,,,,,,
case 203,Add penalty,Variant 37,37,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 203,Add penalty,Variant 37,37,-9223372036854775808.00,39.35,,,,,,,,
case 203,Appeal to Judge,Variant 37,37,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 204,Create Fine,Variant 10,10,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 204,Send Fine,Variant 10,10,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 204,Insert Fine Notification,Variant 10,10,,,,,,,,,,
case 204,Add penalty,Variant 10,10,71.00,77.50,,,,,,,,
case 204,Payment,Variant 10,10,,,,,,,-9223372036854775808.00,29.77,,
case 204,Appeal to Judge,Variant 10,10,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 205,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 205,Send Fine,Variant 2,2,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 205,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 205,Add penalty,Variant 2,2,71.00,77.50,,,,,,,,
case 205,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 206,Create Fine,Variant 12,12,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 206,Send Fine,Variant 12,12,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 206,Insert Fine Notification,Variant 12,12,,,,,,,,,,
case 206,Add penalty,Variant 12,12,71.00,77.50,,,,,,,,
case 206,Payment,Variant 12,12,,,,,,,-9223372036854775808.00,29.77,,
case 206,Send for Credit Collection,Variant 12,12,,,,,,,,,,
case 207,Create Fine,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 207,Send Fine,Variant 4,4,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 207,Insert Fine Notification,Variant 4,4,,,,,,,,,,
case 207,Add penalty,Variant 4,4,-9223372036854775808.00,77.50,,,,,,,,
case 207,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 207,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 208,Create Fine,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 208,Send Fine,Variant 4,4,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 208,Insert Fine Notification,Variant 4,4,,,,,,,,,,
case 208,Add penalty,Variant 4,4,71.00,77.50,,,,,,,,
case 208,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 208,Payment,Variant 4,4,,,,,,,29.77,9223372036854775808.00,,
case 209,Create Fine,Variant 10,10,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 209,Send Fine,Variant 10,10,,,,,,,,,-9223372036854775808.00,4.96
case 209,Insert Fine Notification,Variant 10,10,,,,,,,,,,
case 209,Add penalty,Variant 10,10,155.00,319.50,,,,,,,,
case 209,Payment,Variant 10,10,,,,,,,-9223372036854775808.00,168.50,,
case 209,Appeal to Judge,Variant 10,10,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 210,Create Fine,Variant 12,12,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 210,Send Fine,Variant 12,12,,,,,,,,,-9223372036854775808.00,4.96
case 210,Insert Fine Notification,Variant 12,12,,,,,,,,,,
case 210,Add penalty,Variant 12,12,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 210,Payment,Variant 12,12,,,,,,,-9223372036854775808.00,168.50,,
case 210,Send for Credit Collection,Variant 12,12,,,,,,,,,,
case 211,Create Fine,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 211,Send Fine,Variant 4,4,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 211,Insert Fine Notification,Variant 4,4,,,,,,,,,,
case 211,Add penalty,Variant 4,4,-9223372036854775808.00,319.50,,,,,,,,
case 211,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 211,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 212,Create Fine,Variant 10,10,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 212,Send Fine,Variant 10,10,,,,,,,,,4.96,9223372036854775808.00
case 212,Insert Fine Notification,Variant 10,10,,,,,,,,,,
case 212,Add penalty,Variant 10,10,155.00,159.00,,,,,,,,
case 212,Payment,Variant 10,10,,,,,,,-9223372036854775808.00,79.00,,
case 212,Appeal to Judge,Variant 10,10,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 213,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 213,Send Fine,Variant 2,2,,,,,,,,,12.91,9223372036854775808.00
case 213,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 213,Add penalty,Variant 2,2,-9223372036854775808.00,319.50,,,,,,,,
case 213,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 214,Create Fine,Variant 12,12,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 214,Send Fine,Variant 12,12,,,,,,,,,4.96,9223372036854775808.00
case 214,Insert Fine Notification,Variant 12,12,,,,,,,,,,
case 214,Add penalty,Variant 12,12,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 214,Payment,Variant 12,12,,,,,,,-9223372036854775808.00,79.00,,
case 214,Send for Credit Collection,Variant 12,12,,,,,,,,,,
case 215,Create Fine,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 215,Send Fine,Variant 4,4,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 215,Insert Fine Notification,Variant 4,4,,,,,,,,,,
case 215,Add penalty,Variant 4,4,-9223372036854775808.00,159.00,,,,,,,,
case 215,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 215,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 216,Create Fine,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 216,Send Fine,Variant 4,4,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 216,Insert Fine Notification,Variant 4,4,,,,,,,,,,
case 216,Add penalty,Variant 4,4,-9223372036854775808.00,319.50,,,,,,,,
case 216,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 216,Payment,Variant 4,4,,,,,,,79.00,9223372036854775808.00,,
case 217,Create Fine,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 217,Send Fine,Variant 4,4,,,,,,,,,4.96,12.91
case 217,Insert Fine Notification,Variant 4,4,,,,,,,,,,
case 217,Add penalty,Variant 4,4,-9223372036854775808.00,319.50,,,,,,,,
case 217,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 217,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 218,Create Fine,Variant 10,10,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,2.00,9223372036854775808.00,,,,
case 218,Send Fine,Variant 10,10,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 218,Insert Fine Notification,Variant 10,10,,,,,,,,,,
case 218,Add penalty,Variant 10,10,155.00,319.50,,,,,,,,
case 218,Payment,Variant 10,10,,,,,,,-9223372036854775808.00,168.50,,
case 218,Appeal to Judge,Variant 10,10,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 219,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,2.00,9223372036854775808.00,,,,
case 219,Send Fine,Variant 2,2,,,,,,,,,12.91,9223372036854775808.00
case 219,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 219,Add penalty,Variant 2,2,-9223372036854775808.00,319.50,,,,,,,,
case 219,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 220,Create Fine,Variant 12,12,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,2.00,9223372036854775808.00,,,,
case 220,Send Fine,Variant 12,12,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 220,Insert Fine Notification,Variant 12,12,,,,,,,,,,
case 220,Add penalty,Variant 12,12,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 220,Payment,Variant 12,12,,,,,,,-9223372036854775808.00,168.50,,
case 220,Send for Credit Collection,Variant 12,12,,,,,,,,,,
case 221,Create Fine,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 221,Send Fine,Variant 4,4,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 221,Insert Fine Notification,Variant 4,4,,,,,,,,,,
case 221,Add penalty,Variant 4,4,-9223372036854775808.00,319.50,,,,,,,,
case 221,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 221,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 222,Create Fine,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,2.00,9223372036854775808.00,,,,
case 222,Send Fine,Variant 4,4,,,,,,,,,-9223372036854775808.00,12.91
case 222,Insert Fine Notification,Variant 4,4,,,,,,,,,,
case 222,Add penalty,Variant 4,4,-9223372036854775808.00,319.50,,,,,,,,
case 222,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 222,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 223,Create Fine,Variant 10,10,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 223,Send Fine,Variant 10,10,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 223,Insert Fine Notification,Variant 10,10,,,,,,,,,,
case 223,Add penalty,Variant 10,10,716.00,9223372036854775808.00,,,,,,,,
case 223,Payment,Variant 10,10,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 223,Appeal to Judge,Variant 10,10,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 224,Create Fine,Variant 12,12,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 224,Send Fine,Variant 12,12,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 224,Insert Fine Notification,Variant 12,12,,,,,,,,,,
case 224,Add penalty,Variant 12,12,716.00,9223372036854775808.00,,,,,,,,
case 224,Payment,Variant 12,12,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 224,Send for Credit Collection,Variant 12,12,,,,,,,,,,
case 225,Create Fine,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 225,Send Fine,Variant 4,4,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 225,Insert Fine Notification,Variant 4,4,,,,,,,,,,
case 225,Add penalty,Variant 4,4,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 225,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 225,Payment,Variant 4,4,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 226,Create Fine,Variant 10,10,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 226,Send Fine,Variant 10,10,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 226,Insert Fine Notification,Variant 10,10,,,,,,,,,,
case 226,Add penalty,Variant 10,10,-9223372036854775808.00,36.00,,,,,,,,
case 226,Payment,Variant 10,10,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 226,Appeal to Judge,Variant 10,10,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 227,Create Fine,Variant 79,79,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 227,Send Fine,Variant 79,79,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 227,Insert Fine Notification,Variant 79,79,,,,,,,,,,
case 227,Add penalty,Variant 79,79,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 227,Payment,Variant 79,79,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 227,Add penalty,Variant 79,79,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 228,Create Fine,Variant 42,42,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 228,Send Fine,Variant 42,42,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 228,Insert Fine Notification,Variant 42,42,,,,,,,,,,
case 228,Payment,Variant 42,42,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 228,Insert Date Appeal to Prefecture,Variant 42,42,,,,,,,,,,
case 228,Send Appeal to Prefecture,Variant 42,42,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 229,Create Fine,Variant 3,3,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 229,Send Fine,Variant 3,3,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 229,Insert Fine Notification,Variant 3,3,,,,,,,,,,
case 229,Payment,Variant 3,3,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 229,Appeal to Judge,Variant 3,3,,,71.00,71.00,,,,,,
case 230,Create Fine,Variant 103,103,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 230,Send Fine,Variant 103,103,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 230,Insert Fine Notification,Variant 103,103,,,,,,,,,,
case 230,Payment,Variant 103,103,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 230,Add penalty,Variant 103,103,-9223372036854775808.00,39.35,,,,,,,,
case 230,Appeal to Judge,Variant 103,103,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 231,Create Fine,Variant 46,46,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 231,Send Fine,Variant 46,46,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 231,Insert Fine Notification,Variant 46,46,,,,,,,,,,
case 231,Payment,Variant 46,46,,,,,,,-9223372036854775808.00,29.77,,
case 231,Add penalty,Variant 46,46,-9223372036854775808.00,71.00,,,,,,,,
case 232,Create Fine,Variant 46,46,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 232,Send Fine,Variant 46,46,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 232,Insert Fine Notification,Variant 46,46,,,,,,,,,,
case 232,Payment,Variant 46,46,,,,,,,51.65,9223372036854775808.00,,
case 232,Add penalty,Variant 46,46,68.25,9223372036854775808.00,,,,,,,,
case 233,Create Fine,Variant 46,46,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 233,Send Fine,Variant 46,46,,,,,,,,,4.96,9223372036854775808.00
case 233,Insert Fine Notification,Variant 46,46,,,,,,,,,,
case 233,Payment,Variant 46,46,,,,,,,-9223372036854775808.00,79.00,,
case 233,Add penalty,Variant 46,46,-9223372036854775808.00,319.50,,,,,,,,
case 234,Create Fine,Variant 46,46,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
